epoch,train_loss,val_loss,learning_rate,accuracy,macro_f1,weighted_f1,precision_micro,recall_micro
1,1.254006068877177,0.9510072260860737,0.001,0.6661746543362352,0.5949958424605577,0.6372438618471485,0.6661746543362352,0.6661746543362352
2,1.0017174127146158,0.8586712680649541,0.0009997532801828658,0.7028647166912673,0.6360884989539107,0.6875010595503678,0.7028647166912673,0.7028647166912673
3,0.9208318771114594,0.8211837195432965,0.0009990133642141358,0.7048528481489291,0.6539793050089495,0.7081448323729328,0.7048528481489291,0.7048528481489291
4,0.8711169549556733,0.5764513401183378,0.00099778098230154,0.795041720637407,0.7401593110729875,0.7920396934305163,0.795041720637407,0.795041720637407
5,0.8127080713772974,0.7458517023352653,0.000996057350657239,0.7359399945778233,0.6734039496387688,0.7280397005278926,0.7359399945778233,0.7359399945778233
6,0.7784816329942552,0.7296942185288355,0.0009938441702975688,0.7437117811850469,0.7071823164838502,0.7467062832243027,0.7437117811850469,0.7437117811850469
7,0.7556724242301852,0.5929425547118431,0.0009911436253643444,0.7910955809259873,0.7130685439791985,0.7893008567247094,0.7910955809259873,0.7910955809259873
8,0.7203319796503374,0.5073496828248861,0.0009879583809693736,0.8154050064764888,0.7650868545717788,0.8157731653709569,0.8154050064764888,0.8154050064764888
9,0.7096903085582932,0.6005343258494006,0.0009842915805643154,0.7905834864596198,0.7481042686140166,0.7911320623775417,0.7905834864596198,0.7905834864596198
10,0.6865204130583833,0.48843732921334637,0.0009801468428384714,0.8347139801789318,0.7788461016329311,0.8315291834527947,0.8347139801789318,0.8347139801789318
11,0.6696685751783438,0.4369854175940685,0.0009755282581475767,0.8447751302828569,0.7992027143852556,0.8431536912065016,0.8447751302828569,0.8447751302828569
12,0.6693885888035328,0.45733987913579294,0.0009704403844771127,0.8401964032894539,0.7820152858844068,0.8366219110169348,0.8401964032894539,0.8401964032894539
13,0.6515038185633238,0.44698926769552716,0.0009648882429441257,0.8390517215411031,0.8081404069397418,0.8418986334923528,0.8390517215411031,0.8390517215411031
14,0.6437168303035884,0.44059050009814926,0.0009588773128419905,0.8505286622285146,0.8046020226779667,0.8484762809882178,0.8505286622285146,0.8505286622285146
15,0.631848743489644,0.3702650711483046,0.0009524135262330098,0.8708015784558846,0.8267756757639946,0.8693263116853781,0.8708015784558846,0.8708015784558846
16,0.6197375154690054,0.6067701673731767,0.0009455032620941839,0.7944392565593277,0.7320589276326884,0.7870961206908522,0.7944392565593277,0.7944392565593277
17,0.6053027049817428,0.3589142744403347,0.0009381533400219318,0.8745067325360726,0.8362997125839274,0.8738134150996835,0.8745067325360726,0.8745067325360726
18,0.5977577226857812,0.40954742145584294,0.0009303710135019719,0.8576377383498509,0.7902308177969766,0.8552418473134135,0.8576377383498509,0.8576377383498509
19,0.5973956376604813,0.42342981733385116,0.0009221639627510076,0.8542639395126066,0.8234971081579506,0.8556055375242427,0.8542639395126066,0.8542639395126066
20,0.5891139050979376,0.5272561223213473,0.000913540287137281,0.8190800373527728,0.7637099441633207,0.8165096834976245,0.8190800373527728,0.8190800373527728
21,0.6006246869944348,0.4423437739201769,0.0009045084971874739,0.8478778202849655,0.807690819625052,0.8462680571287455,0.8478778202849655,0.8478778202849655
22,0.5746422968614342,0.40125573850465895,0.0008950775061878453,0.8577582311654668,0.8313736655989151,0.8586113911795079,0.8577582311654668,0.8577582311654668
23,0.567844257826353,0.4604126425178258,0.0008852566213878948,0.8379974094044642,0.7888313533734562,0.835977844463937,0.8379974094044642,0.8379974094044642
24,0.5704115816128111,0.3877079627729487,0.0008750555348152299,0.8651082929180348,0.8222827316080448,0.8635329839332035,0.8651082929180348,0.8651082929180348
25,0.5630123127175414,0.3277691481511816,0.0008644843137107058,0.8850197306985571,0.8585142091156358,0.8846448026526302,0.8850197306985571,0.8850197306985571
26,0.563840562403909,0.35793503984886577,0.0008535533905932738,0.8812543302105612,0.8338341975591971,0.8810435799385042,0.8812543302105612,0.8812543302105612
27,0.5546441338177829,0.32971497383103887,0.0008422735529643445,0.8834533240955508,0.8520839096249353,0.8831706009778544,0.8834533240955508,0.8834533240955508
28,0.5489467179909453,0.48162381568292423,0.000830655932661826,0.8339910232852367,0.7818966539339128,0.8341163185944944,0.8339910232852367,0.8339910232852367
29,0.5601469702897748,0.4466891659228282,0.000818711994874345,0.847365725818598,0.7843744824937636,0.8421561571056579,0.847365725818598,0.847365725818598
30,0.5484003797520821,0.3184155043144199,0.0008064535268264884,0.8908937554598307,0.8608817516600058,0.8905753815276286,0.8908937554598307,0.8908937554598307
31,0.5480563559127095,0.3446754785418155,0.0007938926261462368,0.8844775130282857,0.8492209260151936,0.8844226604859371,0.8844775130282857,0.8844775130282857
32,0.535271087879247,0.48800541847036644,0.0007810416889260655,0.8352260746452993,0.8082874282837361,0.8378993542233699,0.8352260746452993,0.8352260746452993
33,0.5225647499523425,0.4375062544366432,0.0007679133974894984,0.849293610868452,0.7915680819359979,0.8463146096809588,0.849293610868452,0.849293610868452
34,0.5366483552159551,0.33759392668627275,0.0007545207078751858,0.8812242070066573,0.8540245504969636,0.8821440584007989,0.8812242070066573,0.8812242070066573
35,0.5257551304936817,0.3252662802270785,0.0007408768370508578,0.8859535500195801,0.8503614082053467,0.8844586751306419,0.8859535500195801,0.8859535500195801
36,0.5282116893872343,0.31444269542604747,0.0007269952498697736,0.8916167123535259,0.8638127405868185,0.8916719098593632,0.8916167123535259,0.8916167123535259
37,0.5203643195774647,0.40536871939663227,0.0007128896457825365,0.8599572250504564,0.8125280383578831,0.8583118650534645,0.8599572250504564,0.8599572250504564
38,0.5222423402999689,0.3177917999567984,0.0006985739453173904,0.891556465945718,0.8659902522281926,0.8913978154894713,0.891556465945718,0.891556465945718
39,0.5151906469968058,0.35363808520160483,0.0006840622763423392,0.8788143506943399,0.8367082390052101,0.876369347141015,0.8788143506943399,0.8788143506943399
40,0.5126025119405799,0.35703375170229934,0.0006693689601226459,0.8769768352561979,0.8498453882229646,0.8773795290398028,0.8769768352561979,0.8769768352561979
41,0.504908983654101,0.3304260538232633,0.0006545084971874739,0.8864957676898515,0.8473050097983726,0.8852311498047006,0.8864957676898515,0.8864957676898515
42,0.5032612219683471,0.341934740253395,0.0006394955530196148,0.8835135705033588,0.829652469125458,0.8825546498351917,0.8835135705033588,0.8835135705033588
43,0.5063509134594592,0.3172081023814661,0.0006243449435824275,0.8936349670150917,0.8629550257677668,0.8932098287821387,0.8936349670150917,0.8936349670150917
44,0.4967389018121207,0.333309305097718,0.0006090716206982715,0.8853510859415007,0.8500925043685738,0.8858902405545946,0.8853510859415007,0.8853510859415007
45,0.5087393702488238,0.3131682358671607,0.0005936906572928626,0.8917070819652378,0.8569624643414749,0.8907152388005412,0.8917070819652378,0.8917070819652378
46,0.5083360187288787,0.3014340385972841,0.0005782172325201157,0.8967979034250083,0.8616111249653313,0.8962570224021015,0.8967979034250083,0.8967979034250083
47,0.4896731963330742,0.32758263162856727,0.0005626666167821524,0.8895683344880562,0.8529608143649726,0.8892246130280627,0.8895683344880562,0.8895683344880562
48,0.48692749535888863,0.31310909489865413,0.0005470541566592573,0.8926107780823569,0.8656502707948003,0.893280331663669,0.8926107780823569,0.8926107780823569
49,0.4873498247113443,0.2874151558356353,0.000531395259764657,0.9003825646895803,0.871732623448672,0.900181874478432,0.9003825646895803,0.9003825646895803
50,0.48200655740400966,0.3330301861646366,0.0005157053795390644,0.8878211886616261,0.852092278801059,0.8879722703634808,0.8878211886616261,0.8878211886616261
51,0.49419582817920493,0.299328456070386,0.0005000000000000002,0.8964966713859686,0.8721336075091398,0.8965544784121798,0.8964966713859686,0.8964966713859686
52,0.49130927637120114,0.32028003184519666,0.00048429462046093607,0.8900503057505196,0.8545581127733409,0.8891810378033059,0.8900503057505196,0.8900503057505196
53,0.4801893582169261,0.31369295558103666,0.0004686047402353435,0.8935445974033798,0.8630740159023658,0.8933349743931045,0.8935445974033798,0.8935445974033798
54,0.4797091783596799,0.27965738539699764,0.000452945843340743,0.9033647618760732,0.8784697770277603,0.903071934707598,0.9033647618760732,0.9033647618760732
55,0.4802380623031274,0.3257115205459955,0.00043733338321784806,0.8919781908003735,0.8610320434053239,0.8904900084706756,0.8919781908003735,0.8919781908003735
56,0.47755616594362804,0.33713561105603185,0.0004217827674798847,0.8882429135162816,0.8596722109712069,0.8882701598942112,0.8882429135162816,0.8882429135162816
57,0.4686682642475778,0.30623249009592285,0.00040630934270713783,0.89893665090219,0.8703584357078021,0.8986271698380738,0.89893665090219,0.89893665090219
58,0.4683500951420369,0.3160774343867767,0.000390928379301729,0.8966472874054885,0.8637142570383602,0.8960819540638052,0.8966472874054885,0.8966472874054885
59,0.4704455958014624,0.30952412145168023,0.0003756550564175727,0.897942585173359,0.8678732874010504,0.897811876168266,0.897942585173359,0.897942585173359
60,0.4764533820885575,0.29324684134501955,0.00036050444698038553,0.9008946591559478,0.8759920799749551,0.9011275191487836,0.9008946591559478,0.9008946591559478
61,0.45536812167415086,0.35748199892984184,0.00034549150281252655,0.8855318251649246,0.8449913960594105,0.8849676057651447,0.8855318251649246,0.8855318251649246
62,0.4660944418804013,0.32287732760141413,0.0003306310398773544,0.8932132421604362,0.8553299533674928,0.8919963286853122,0.8932132421604362,0.8932132421604362
63,0.4617621225447667,0.29574962661317106,0.00031593772365766127,0.8992378829412296,0.8656573289068361,0.8984036668885225,0.8992378829412296,0.8992378829412296
64,0.4527075725209788,0.2813389483891679,0.0003014260546826097,0.9041780883814803,0.8743064272559716,0.9037456443065629,0.9041780883814803,0.9041780883814803
65,0.4523661859125627,0.28748386453913577,0.0002871103542174637,0.9021297105160104,0.8766626401125812,0.9026069867390907,0.9021297105160104,0.9021297105160104
66,0.4505276862307881,0.2881801483911014,0.0002730047501302267,0.9010452751754676,0.872783250973543,0.9008487896861279,0.9010452751754676,0.9010452751754676
67,0.44634294022425525,0.29100577796417987,0.00025912316294914234,0.900744043136428,0.8705558357128469,0.900571344870544,0.900744043136428,0.900744043136428
68,0.4464616521465768,0.279280820933222,0.0002454792921248144,0.9026418049823779,0.8757273562473373,0.9024391676929095,0.9026418049823779,0.9026418049823779
69,0.4460191664584148,0.2797122971056082,0.00023208660251050164,0.9042985811970962,0.8737874672308084,0.9040584676896494,0.9042985811970962,0.9042985811970962
70,0.4504891825705844,0.2865167057244509,0.00021895831107393473,0.9013465072145074,0.8745380385280866,0.90136605548752,0.9013465072145074,0.9013465072145074
71,0.44735347110876705,0.293344918317413,0.00020610737385376356,0.8996294845919812,0.8680858425969465,0.8994702353149436,0.8996294845919812,0.8996294845919812
72,0.4312411102091224,0.28021630326189845,0.00019354647317351177,0.9031237762448414,0.8753437715627599,0.9030145337874953,0.9031237762448414,0.9031237762448414
73,0.44559982648366847,0.29375889255281823,0.0001812880051256552,0.8994788685724614,0.8697470033999504,0.8991547480246578,0.8994788685724614,0.8994788685724614
74,0.44556855713601357,0.28180599634315634,0.00016934406733817422,0.9038166099346326,0.8756716991683021,0.9037948519684484,0.9038166099346326,0.9038166099346326
75,0.43951223589036376,0.2959351019693842,0.0001577264470356557,0.8979124619694551,0.8690783893905834,0.8980876087980872,0.8979124619694551,0.8979124619694551
76,0.4359704411894585,0.2898133119305247,0.00014644660940672634,0.900713919932524,0.8716679591750305,0.9003881645019709,0.900713919932524,0.900713919932524
77,0.43218719477508877,0.27977486557190895,0.0001355156862892944,0.9039973491580564,0.8777021910349162,0.9039417952351311,0.9039973491580564,0.9039973491580564
78,0.44506614413219714,0.2936752825292237,0.0001249444651847703,0.899810223815405,0.8711958522653149,0.8999014340408822,0.899810223815405,0.899810223815405
79,0.41648845451791705,0.27776413585714727,0.00011474337861210548,0.9052324005181192,0.8794428645490141,0.9050704327798823,0.9052324005181192,0.9052324005181192
80,0.423672823174471,0.28890263324606635,0.00010492249381215483,0.9013163840106033,0.8728851210202452,0.9014959477070781,0.9013163840106033,0.9013163840106033
81,0.4251574173239191,0.29852254021673,9.549150281252637e-05,0.8996897309997891,0.8682300038519445,0.8993673257024395,0.8996897309997891,0.8996897309997891
82,0.4224512937576668,0.293132068461121,8.645971286271923e-05,0.9015272464379311,0.8736385088078366,0.9016772571706717,0.9015272464379311,0.9015272464379311
83,0.425239322094012,0.28589379682050226,7.78360372489926e-05,0.902611681778474,0.8762749753175454,0.9025359146110057,0.902611681778474,0.902611681778474
84,0.42831356449313396,0.2903008266170689,6.962898649802815e-05,0.902521312166762,0.8755770734467698,0.9025618121916654,0.902521312166762,0.902521312166762
85,0.42985681720945174,0.2877681463706363,6.184665997806824e-05,0.902611681778474,0.8749555284060428,0.9026654471882628,0.902611681778474,0.902611681778474
86,0.4308473114940279,0.29153940136627926,5.449673790581613e-05,0.9012260143988915,0.8735817258710261,0.9011793915095094,0.9012260143988915,0.9012260143988915
87,0.4161534442606629,0.2863392299742793,4.758647376699034e-05,0.9013465072145074,0.8746295711014085,0.9012752629960351,0.9013465072145074,0.9013465072145074
88,0.4158413903257702,0.28771459495396084,4.112268715800956e-05,0.9021297105160104,0.8742387398041719,0.9018124197113847,0.9021297105160104,0.9021297105160104
89,0.42693203540266594,0.3030496858843415,3.511175705587434e-05,0.8981534476006868,0.870881936796006,0.898389409073431,0.8981534476006868,0.8981534476006868
90,0.42954695713127505,0.28916868018228525,2.9559615522887284e-05,0.9017983552730668,0.8756693197941404,0.9018503599322402,0.9017983552730668,0.9017983552730668
91,0.4221500184011171,0.2922233199135641,2.447174185242324e-05,0.9011055215832756,0.8736158149816872,0.9011093012448652,0.9011055215832756,0.9011055215832756
92,0.4180097395600686,0.2859720021623637,1.9853157161528526e-05,0.9032442690604573,0.8760921980516688,0.9030705101090271,0.9032442690604573,0.9032442690604573
93,0.4090146199165574,0.29321469095208097,1.570841943568452e-05,0.8999909630388289,0.8722264084076179,0.8999568439505513,0.8999909630388289,0.8999909630388289
94,0.4123146746608221,0.2981603651970421,1.204161903062634e-05,0.8996294845919812,0.8725514790242438,0.8995010306172214,0.8996294845919812,0.8996294845919812
95,0.4049302296448926,0.2883861707963078,8.85637463565564e-06,0.9020694641082025,0.8741163169408553,0.9020567995951356,0.9020694641082025,0.9020694641082025
96,0.43019500218168255,0.29456167286586504,6.155829702431171e-06,0.9005030575051962,0.8735813503496814,0.9002992393402182,0.9005030575051962,0.9005030575051962
97,0.40881278120473935,0.2939461537690092,3.942649342761118e-06,0.9011958911949876,0.8743114251106859,0.9013027618565652,0.9011958911949876,0.9011958911949876
98,0.4170592758594568,0.28112856310423046,2.2190176984600023e-06,0.9033346386721691,0.8756812621384898,0.9030709904091812,0.9033346386721691,0.9033346386721691
99,0.42221312896435614,0.29988415546222175,9.866357858642206e-07,0.8992981293490375,0.8702754130753904,0.899234328608551,0.8992981293490375,0.8992981293490375
100,0.40635221172886543,0.2896631784955037,2.467198171342e-07,0.9015573696418351,0.874748267175006,0.9014422231762383,0.9015573696418351,0.9015573696418351
